name,smiles,taste,MW,LogP,HBD,HBA,TPSA
Sucrose,OCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)O,sweet,342.29699999999997,-5.395599999999993,8.0,11.0,189.52999999999997
"Sucralose / 4,1',6'-Trichloro-galactosucrose",ClCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl,sweet,397.6350000000001,-1.6561000000000003,5.0,8.0,128.84
Alitame,CC(COCNC1C(C)(C)SC1(C)C)NCOCC(CC(=O)O)N,sweet,363.52400000000017,0.9769000000000021,4.0,7.0,105.83999999999999
Aspartame/Aspartyl-phenylalanine methylester,COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,sweet,294.30699999999996,-0.31109999999999793,3.0,5.0,118.72
Tagatose,OCC1(O)OCC(C(C1O)O)O,sweet,180.156,-3.219799999999999,5.0,6.0,110.38000000000001
Maltitol,OCC(C(C(C(CO)O)O)OC1OC(CO)C(C(C1O)O)O)O,sweet,344.31300000000005,-5.761199999999992,9.0,11.0,200.52999999999997
Isomaltulose/Palatinose,OCC1OC(OCC2OC(C(C2O)O)(O)CO)C(C(C1O)O)O,sweet,342.297,-5.395599999999993,8.0,11.0,189.52999999999997
Trehalose,OCC1OC(OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O,sweet,342.297,-5.397199999999993,8.0,11.0,189.52999999999997
Acesulfame potassium,CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],sweet,201.24399999999997,-2.9304999999999994,0.0,4.0,74.54
Sodium cyclamate,C1CCC(CC1)NS(=O)(=O)[O-].[Na+],sweet,201.223,-2.6270999999999978,1.0,3.0,69.23
Neohesperidine dihydrochalcone,OCC1OC(Oc2cc(O)c(c(c2)O)C(=O)CCc2ccc(c(c2)O)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,sweet,612.5810000000004,-1.3420000000000003,9.0,15.0,245.28999999999994
Neotame,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)C,sweet,378.46900000000016,1.7559999999999991,3.0,5.0,104.73
Sodium saccharin,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+],sweet,205.17,-2.0931999999999995,0.0,3.0,65.31
Isomalt (Palatinit) / Isomaltitol,OCC(C(C(C(COC1OC(CO)C(C(C1O)O)O)O)O)O)O,sweet,344.31300000000005,-5.7611999999999925,9.0,11.0,200.52999999999997
Sorbitol,OCC(C(C(C(CO)O)O)O)O,sweet,182.17200000000003,-3.5853999999999986,6.0,6.0,121.38000000000001
Erythritol,OCC(C(CO)O)O,sweet,122.11999999999999,-2.3071999999999995,4.0,4.0,80.92
Xylitol,OCC(C(C(CO)O)O)O,sweet,152.14600000000002,-2.9462999999999995,5.0,5.0,101.15
Stevioside,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O,sweet,804.8800000000009,-2.9380999999999884,11.0,18.0,294.97999999999996
Steviolbioside,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O,sweet,642.7390000000005,-0.19659999999999572,8.0,12.0,215.82999999999996
Rebaudioside A,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O,sweet,967.0210000000011,-5.1138999999999815,14.0,23.0,374.13000000000005
Rebaudioside B,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O,sweet,804.8800000000008,-2.3723999999999914,11.0,17.0,294.97999999999996
