name,smiles,taste
Sucrose,OCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)O,sweet
"Sucralose / 4,1',6'-Trichloro-galactosucrose",ClCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl,sweet
Alitame,CC(COCNC1C(C)(C)SC1(C)C)NCOCC(CC(=O)O)N,sweet
Aspartame/Aspartyl-phenylalanine methylester,COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,sweet
Tagatose,OCC1(O)OCC(C(C1O)O)O,sweet
Maltitol,OCC(C(C(C(CO)O)O)OC1OC(CO)C(C(C1O)O)O)O,sweet
Isomaltulose/Palatinose,OCC1OC(OCC2OC(C(C2O)O)(O)CO)C(C(C1O)O)O,sweet
Trehalose,OCC1OC(OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O,sweet
Acesulfame potassium,CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],sweet
Sodium cyclamate,C1CCC(CC1)NS(=O)(=O)[O-].[Na+],sweet
Neohesperidine dihydrochalcone,OCC1OC(Oc2cc(O)c(c(c2)O)C(=O)CCc2ccc(c(c2)O)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,sweet
Neotame,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)C,sweet
Sodium saccharin,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+],sweet
Isomalt (Palatinit) / Isomaltitol,OCC(C(C(C(COC1OC(CO)C(C(C1O)O)O)O)O)O)O,sweet
Sorbitol,OCC(C(C(C(CO)O)O)O)O,sweet
Erythritol,OCC(C(CO)O)O,sweet
Xylitol,OCC(C(C(CO)O)O)O,sweet
Stevioside,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O,sweet
Steviolbioside,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)O)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O,sweet
Rebaudioside A,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O,sweet
Rebaudioside B,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O,sweet
Rebaudioside C,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(C)C(C(C1O)O)O,sweet
Rebaudioside D,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2OC2OC(CO)C(C(C2O)O)O)O)O)C(C(C1O)OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O,sweet
Rebaudioside E,OCC1OC(OC(=O)C2(C)CCCC3(C2CCC24C3CCC(C4)(C(=C)C2)OC2OC(CO)C(C(C2OC2OC(CO)C(C(C2O)O)O)O)O)C)C(C(C1O)O)OC1OC(CO)C(C(C1O)O)O,sweet
Dulcoside A,OCC1OC(OC23CCC4C(C2)(CC3=C)CCC2C4(C)CCCC2(C)C(=O)OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,sweet
Glycyrrhizin,OC1C(OC2OC(C(=O)O)C(C(C2O)O)O)C(OC(C1O)C(=O)O)OC1CCC2(C(C1(C)C)CCC1(C2C(=O)C=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C)C)C,sweet
Hernandulcin,CC(=CCCC(C1CCC(=CC1=O)C)(O)C)C,sweet
Fructose,OCC1OC(C(C1O)O)(O)CO,sweet
Glucose,OCC1OC(O)C(C(C1O)O)O,sweet
Xylose,OC1COC(C(C1O)O)O,sweet
Maltose,OCC1OC(O)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O,sweet
Lactulose,OCC1OC(C(C1OC1OC(CO)C(C(C1O)O)O)O)(O)CO,sweet
Lactosucrose,OCC1OC(OC2(CO)OC(C(C2O)O)CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O,sweet
Raffinose,OCC1OC(C(C1O)O)(CO)OC1OC(COC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O,sweet
Rhamnose,OC1C(C)OC(C(C1O)O)O,sweet
Naringin,OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,bitter
Gentiobiose,OCC1OC(OCC2OC(O)C(C(C2O)O)O)C(C(C1O)O)O,bitter
Limonin,O=C1OCC23C(C1)OC(C2CC(=O)C1(C3CCC2(C31OC3C(=O)OC2c1cocc1)C)C)(C)C,bitter
Oleuropein,OCC1OC(OC2OC=C(C(C2=CC)CC(=O)OCCc2ccc(c(c2)O)O)C(=O)OC)C(C(C1O)O)O,bitter
Caffeine ,Cn1cnc2c1c(=O)n(C)c(=O)n2C,bitter
Poncirin,OCC1OC(Oc2cc3OC(CC(=O)c3c(c2)O)c2ccc(cc2)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,bitter
Neoeriocitrin,OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(c(c2)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,bitter
Quinine,C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O,bitter
Divinyl glycol,C=COCCOC=C,bitter
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,bitter
Picrocrocin,OCC1OC(OC2CC(=C(C(C2)(C)C)C=O)C)C(C(C1O)O)O,bitter
Saccharin derivative 1,Cc1ccc2c(c1)S(=O)(=O)NC2=O,sweet
Saccharin derivative 2,Clc1ccc2c(c1)S(=O)(=O)NC2=O,sweet
Saccharin derivative 3,BrCCN1C(=O)c2c(S1(=O)=O)cccc2,tasteless
3-nitro-o-toluidine,O=N(=O)c1cccc(c1C)N,tasteless
3-nitro-p-toluidine,Nc1ccc(c(c1)N(=O)=O)C,tasteless
2-amino-4-nitro-propoxybenzene,CCCOc1ccc(cc1N)N(=O)=O,sweet
2-nitro-4-amino-propoxybenzene,CCCOc1ccc(cc1N(=O)=O)N,tasteless
"2,4-dinitro-propoxybenzene",CCCOc1ccc(cc1N(=O)=O)N(=O)=O,bitter
Dulcin (p-ethoxyphenylurea),CCOc1ccc(cc1)NC(=O)N,sweet
4-Ethoxyphenylthiourea,CCOc1ccc(cc1)NC(=S)N,bitter
o-ethoxyphenylurea,CCOc1ccccc1NC(=O)N,tasteless
Dihydroquercetin 3-acetate 4'-(methylether) (3),COc1ccc(cc1O)C1Oc2cc(O)cc(c2C(=O)C1OC(=O)C)O,sweet
Flavan (4),COc1ccc(cc1O)C1CCc2c(O1)cccc2,sweet
Compound 5,COc1ccc(cc1O)C1OCc2c(C1)cccc2,sweet
"1,3-benzodioxane (6)",COc1ccc(cc1O)C1OCc2c(O1)cccc2,sweet
"1,4-benzodioxane (7)",COc1ccc(cc1O)C1COc2c(O1)cccc2,sweet
Bibenzyl derivative (8),COc1ccc(cc1O)CCc1ccccc1,sweet
"1,4-benzodioxin (9)",COc1ccc(cc1O)C1=COc2c(O1)cccc2,tasteless
"Isoflavan or 3-(3-Hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1benzopyran (10)",COc1ccc(cc1O)C1COc2c(C1)cccc2,sweet
"2-(3-Hydroxy-4-methoxyphenyl)-4,5-dihydro-1,3-benzodioxepine (11)",COc1ccc(cc1O)C1OCCc2c(O1)cccc2,tasteless
"3-(3Hydroxy-4-methoxyphenyl)-1,5-dihydro-2,4-benzodioxepine (12)",COc1ccc(cc1O)C1OCc2c(CO1)cccc2,tasteless
"2-(3-hydroxy-4-methoxyphenyl)-1,3-benzodioxole (13)",COc1ccc(cc1O)C1Oc2c(O1)cccc2,sweet
Compound 23,COc1ccc(cc1O)c1cc2cccc(c2c(=O)o1)O,tasteless
Compound 24,COc1ccc(cc1O)c1cc(=O)c2c(o1)cccc2O,tasteless
Compound 25,COc1ccc(cc1O)C1OC(=O)c2c1cccc2,tasteless
"2-(3-Hydroxy-4-methoxyphenyl)-4-H-1,3-benzodithiine (10a)",COc1ccc(cc1O)C1SCc2c(S1)cccc2,sweet
"2-(3-Hydroxy-4-methoxyphenyl)-4H-1,3-benzoxathiine (10c)",COc1ccc(cc1O)C1SCc2c(O1)cccc2,sweet
"2-(3-Hydroxy-4-methoxyphenyl)-4H-1,3-benzodithiole (10d)",COc1ccc(cc1O)C1Sc2c(S1)cccc2,sweet
"2-(3-Hydroxy-4-methoxyphenyl)-1,3-benzoxathiole (10e)",COc1ccc(cc1O)C1Oc2c(S1)cccc2,sweet
"7,8-Dimethyl-3-(3-hydroxy-4-methoxyphenyl)-1,5-dihydro-2,4-benzodithiepine (10f)",COc1ccc(cc1O)C1SCc2c(CS1)cccc2,tasteless
"2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzoxathiine (15a)",COc1ccc(cc1O)C1CSc2c(O1)cccc2,sweet
"2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzodithiine (15b)",COc1ccc(cc1O)C1CSc2c(S1)cccc2,sweet
"2-(3-Hydroxy-4-methylthiophenyl)-2,3-dihydro-1,4-benzoxathiine (15c)",CSc1ccc(cc1O)C1CSc2c(O1)cccc2,tasteless
"2-(3-Hydroxy-4-methoxyphenyl)-2,3-dihydro-1,4-benzoxathiin-6-ol (15d)",COc1ccc(cc1O)C1CSc2c(O1)ccc(c2)O,sweet
"2-(3-Hydroxy-4-methylthiophenyl)-2,3-dihydro-1,4-benzoxathiin-6-ol (15e)",CSc1ccc(cc1O)C1CSc2c(O1)ccc(c2)O,tasteless
"2-(3-Hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzothiopyran (18)",COc1ccc(cc1O)C1CCc2c(S1)cccc2,sweet
"3-(3-Hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzothiopyran (19)",COc1ccc(cc1O)C1CSc2c(C1)cccc2,tasteless
"2-(3-Mercapto-4-methoxyphenyl)-4H-3,1-benzoxathiine (23)",COc1ccc(cc1S)C1OCc2c(S1)cccc2,sweet
Sulfone,COc1ccc(cc1O)C1Oc2ccccc2S(=O)(=O)C1,sweet
Haematoxylin,Oc1cc2CC3(C(c2cc1O)c1ccc(c(c1OC3)O)O)O,sweet
"9-Methoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-6a,10-diol (4)",COc1cc2CC3(C(c2cc1O)c1ccccc1OC3)O,sweet
"10-Methoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-6a,9-diol (5)",COc1cc2c(cc1O)CC1(C2c2ccccc2OC1)O,tasteless
"3,9,10-Trimethoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-4,6a-diol (6)",COc1cc2CC3(C(c2cc1OC)c1ccc(c(c1OC3)O)OC)O,tasteless
"4,9,10-Trimethoxy-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-3,6a-diol (7)",COc1cc2c(cc1OC)CC1(C2c2ccc(c(c2OC1)OC)O)O,tasteless
Tetramethylhaematoxylin (8),COc1cc2CC3(C(c2cc1OC)c1ccc(c(c1OC3)OC)OC)O,bitter
Compound 8,COc1ccc2c(c1O)CCC1C2CCC2(C1CCC2)C,sweet
Compound 17,COc1ccc(cc1)C1OCc2c(S1)cccc2,tasteless
Compound 18,Oc1cccc(c1)C1OCc2c(S1)cccc2,sweet
Compound 19,CCNC(=O)Oc1cc(ccc1OC)C1OCc2c(S1)cccc2,tasteless
Compound 20,COc1ccc(cc1OC(=O)Nc1ccccc1)C1OCc2c(S1)cccc2,sweet
Compound 21,COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2,sweet
Compound 25,COc1ccc(c(c1O)NC(=O)c1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2,tasteless
Compound 26,COc1ccc(c(c1O)C=Cc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2,sweet
Compound 27,COc1ccc(c(c1O)C=CCc1ccc(cc1)N(=O)=O)C1OCc2c(S1)cccc2,tasteless
Compound 28,COc1cc(N(=O)=O)c(cc1O)C1OCc2c(S1)cccc2,tasteless
Compound 29,ON=C1Cc2ccccc2OC1c1ccc(c(c1)O)OC,tasteless
Compound 30,COc1ccc(cc1O)C1Oc2ccccc2OC1C,tasteless
2-(4-methoxybenzoyl) benzoic acid,COc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet
Compound 2,O=C(c1ccccc1C(=O)O)c1ccccc1,tasteless
Compound 3,Cc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet
Compound 4,CCOc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet
Compound 5,CCCOc1ccc(cc1)C(=O)c1ccccc1C(=O)O,tasteless
Compound 6,O=C(c1ccccc1C(=O)O)c1ccc(cc1)Oc1ccccc1,tasteless
Compound 7,Oc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet
Compound 8,CSc1ccc(cc1)C(=O)c1ccccc1C(=O)O,tasteless
Compound 9,O=C(c1ccccc1C(=O)O)c1ccc(cc1)N(C)C,sweet
2-(4-Nitrobenzoyl)benzoic Acid (10),O=C(c1ccccc1C(=O)O)c1ccc(cc1)N(=O)=O,bitter
Compound 11,O=C(c1ccccc1C(=O)O)c1ccc(cc1)C(=O)O,tasteless
Compound 12,Clc1ccc(cc1)C(=O)c1ccccc1C(=O)O,sweet
Compound 13,O=C(c1ccccc1C(=O)O)c1ccc(cc1)c1ccccc1,tasteless
"2-(3,4-Dihydroxybenzoyl)benzoic Acid (14)",O=C(c1ccccc1C(=O)O)c1ccc(c(c1)O)O,sweet
2-(3-Hydroxy-4-methoxybenzoyl)benzoic Acid (15),COc1ccc(cc1O)C(=O)c1ccccc1C(=O)O,sweet
2-(4-Hydroxy-3-methoxybenzoyl)benzoic Acid (16),COc1cc(ccc1O)C(=O)c1ccccc1C(=O)O,tasteless
"2-(3,4-Dimethoxybenzoyl)benzoic Acid (17)",COc1cc(ccc1OC)C(=O)c1ccccc1C(=O)O,tasteless
"2-(2,4-Dimethoxybenzoyl)benzoic Acid (18)",COc1cc(OC)ccc1C(=O)c1ccccc1C(=O)O,bitter
2-(4-Hydroxy-2-methoxybenzoyl)benzoic Acid (19),COc1ccc(c(c1)O)C(=O)c1ccccc1C(=O)O,tasteless
Compound 20,COc1ccc(cc1)Cc1ccccc1C(=O)O,tasteless
Compound 21,COc1ccc(cc1)Oc1ccccc1C(=O)O,tasteless
Compound 22,COc1ccc(cc1)Sc1ccccc1C(=O)O,tasteless
2-(4-Methoxyphenylthio) benzoic Acid S-Oxide (23),COc1ccc(cc1)S(=O)c1ccccc1C(=O)O,sweet
Compound 24,COc1ccc(cc1)C(=O)c1ccccc1,tasteless
Compound 25,COc1ccc(cc1)C(=O)c1ccccc1C(=O)OC,tasteless
2-Hydroxymethylphenyl-4-methoxyphenylmethanol (26),COc1ccc(cc1)C(c1ccccc1CO)O,tasteless
Phthalic Acid Mono(4-methoxyphenyl) Ester (27),COc1ccc(cc1)OC(=O)c1ccccc1C(=O)O,sweet
3-(4-Methoxyphenyl)benzo[2]furan-1-one (28),COc1ccc(cc1)C1OC(=O)c2c1cccc2,tasteless
Compound 29,COc1ccc(cc1)C(=O)C(=CC(=O)O)C,tasteless
"3-Methoxy-1,3,5-estratrien-4-ol (4)",COc1cc2CCC3C(c2cc1O)CCC1(C3CCC1)C,sweet
Substituted pterocarpan (5),COc1cc2OC3C(c2cc1O)COc1c3cccc1,tasteless
"Spiro[(4-H-1,3-benzodithian)-2,1'-(5'-methoxy-6'hydroxy-[1H]-2',3'-dihydroindene)] (6)",COc1cc2CCC3(c2cc1O)SCc1c(S3)cccc1,sweet
"Spiro[(4-H-1,3-benzodithian)-2,1'-(5'-hydroxy-6'-methoxy-[1H]-2',3'-dihydroindene)] (7)",COc1cc2c(cc1O)CCC12SCc2c(S1)cccc2,tasteless
"Spiro[(4-H-1,3-benzodithian)-2,1'-(4'-hydroxy-5'-methoxy-[1H]-2',3'-dihydroindene)] (8)",COc1ccc2c(c1O)CCC12SCc2c(S1)cccc2,tasteless
"2-Phenoxymethyl-2H-7,8-dihydrobenzopyran (9)",COc1cc2CCOC(c2cc1O)COc1ccccc1,tasteless
"2-Methyl-2-(3-hydroxy-4-methoxyphenyl)-1,4-dihydrobenzodioxane (12)",COc1ccc(cc1O)C1(C)COc2c(O1)cccc2,tasteless
Phyllodulcin,COc1ccc(cc1O)C1OC(=O)c2c(C1)cccc2O,sweet
Compound 4,COc1ccc(cc1O)C1OCc2c(S1)cccc2,sweet
Compound 6,COc1ccc(cc1O)C1COc2c(S1)cccc2,sweet
Compound 9,COc1ccc(cc1O)C1SCC23C(O1)CC(C3(C)C)CC2,sweet
"3',4'-dihydroxyphenyl-3,1-benzoxathiane (18)",Oc1ccc(cc1O)C1OCc2c(S1)cccc2,sweet
"2-[3-(4-nitrophenoxycarboxy)phenyl]-3,1-benzoxathiane (25)",O=C(Oc1cc(ccc1O)C1OCc2c(S1)cccc2)Oc1ccc(cc1)N(=O)=O,sweet
"2-[3-(4-nitrophenylcarbonylmethoxy)-4-methoxyphenyl]-3,1-benzoxathiane (26)",O=C(c1ccc(cc1)N(=O)=O)COc1cccc(c1)C1OCc2c(S1)cccc2,sweet
"2-[3-(4-nitrophenylcarbamoyloxy-4-methoxy)phenyl]-3,1-benzodioxane (27)",COc1ccc(cc1OC(=O)Nc1ccc(cc1)N(=O)=O)C1OCc2c(O1)cccc2,sweet
Compound 32,COc1ccc(cc1O)CCC(=O)c1c(O)cc(cc1O)O,sweet
3-(3-Hydroxy-4-methoxyphenyl)-1-(3-carboxyphenyl)propan-1-one (33),COc1ccc(cc1O)CCC(=O)c1cccc(c1)C(=O)O,sweet
Compound 34,COc1ccc(cc1O)C1Cc2cc(O)cc(c2C(=O)C1OC(=O)C)O,sweet
